4K频道,#genre#
纯享4K,http://192.168.2.203:50001/TVOD/1000000004000011651/ystenlive/index.m3u8?OtherName=20M2160_易视腾
CCTV-16奥林匹克4K,http://192.168.2.203:50001/TVOD/5000000008000023254/bestzb/index.m3u8?OtherName=12M2160HEVC_百视通
SiTV欢笑剧场4K,http://192.168.2.203:50001/TVOD/5000000007000010001/bestzb/index.m3u8?OtherName=12M2160HEVC_百视通
华数4K,http://192.168.2.203:50001/TVOD/6000000003000004748/wasusyt/index.m3u8?OtherName=16M2160_华数
华数4K,http://192.168.2.203:50001/TVOD/2000000004000000014/hnbblive/index.m3u8?OtherName=15M2160_湖南bblive
央视频道,#genre#
CCTV-1综合,http://192.168.2.203:50001/TVOD/6000000001000029752/wasusyt/index.m3u8?OtherName=8M1080_华数
CCTV-1综合,http://192.168.2.203:50001/TVOD/1000000001000018602/ystenlive/index.m3u8?OtherName=8M1080_易视腾
CCTV-1综合,http://192.168.2.203:50001/TVOD/5000000004000002226/bestzb/index.m3u8?OtherName=7.5M1080_百视通
CCTV-1综合,http://192.168.2.203:50001/TVOD/1000000005000265001/ystenlive/index.m3u8?OtherName=5.5M1080HEVC_易视腾
CCTV-1综合,http://192.168.2.203:50001/TVOD/5000000010000030810/bestzb/index.m3u8?OtherName=4M1080_百视通
CCTV-1综合,http://192.168.2.203:50001/TVOD/1000000001000021973/ystenlive/index.m3u8?OtherName=4M1080_易视腾
CCTV-2财经,http://192.168.2.203:50001/TVOD/6000000001000014161/wasusyt/index.m3u8?OtherName=8M1080_华数
CCTV-2财经,http://192.168.2.203:50001/TVOD/1000000001000023315/ystenlive/index.m3u8?OtherName=8M1080_易视腾
CCTV-2财经,http://192.168.2.203:50001/TVOD/5000000011000031101/bestzb/index.m3u8?OtherName=6.8M1080_百视通
CCTV-2财经,http://192.168.2.203:50001/TVOD/1000000005000265002/ystenlive/index.m3u8?OtherName=5.5M1080HEVC_易视腾
CCTV-2财经,http://192.168.2.203:50001/TVOD/1000000001000012442/ystenlive/index.m3u8?OtherName=4M1080_易视腾
CCTV-3综艺,http://192.168.2.203:50001/TVOD/6000000001000022313/wasusyt/index.m3u8?OtherName=8M1080_华数
CCTV-3综艺,http://192.168.2.203:50001/TVOD/1000000001000013682/ystenlive/index.m3u8?OtherName=8M1080_易视腾
CCTV-3综艺,http://192.168.2.203:50001/TVOD/5000000004000008883/bestzb/index.m3u8?OtherName=6.8M1080_百视通
CCTV-3综艺,http://192.168.2.203:50001/TVOD/1000000005000265003/ystenlive/index.m3u8?OtherName=5.5M1080HEVC_易视腾
CCTV-3综艺,http://192.168.2.203:50001/TVOD/5000000002000020548/bestzb/index.m3u8?OtherName=4M1080_百视通
CCTV-3综艺,http://192.168.2.203:50001/TVOD/1000000001000011218/ystenlive/index.m3u8?OtherName=4M1080_易视腾
CCTV-4中文国际,http://192.168.2.203:50001/TVOD/5000000011000031102/bestzb/index.m3u8?OtherName=6.8M1080_百视通
CCTV-4中文国际,http://192.168.2.203:50001/TVOD/1000000005000265004/ystenlive/index.m3u8?OtherName=5.5M1080HEVC_易视腾
CCTV-4中文国际,http://192.168.2.203:50001/TVOD/1000000002000031664/ystenlive/index.m3u8?OtherName=4M1080_易视腾
